MeanValueType;StartUtc;EndUtc;PM2_5;PM10;PN;NO;NO2;NO2_Microgram;NOx;BC;BC_FF;BC_WB;RH;WD;WS;Temp;PM2_5Index;PM10Index;NO2Index;CphIndex
"1H";"2021-04-25T22:00:00Z";"2021-04-25T23:00:00Z";"3.3";"6.8";"6970";"8";"6.4";"12.3";"14.5";"0";"0";"0";"61.8";"320";"2.3";"4.5";"A";"A";"A";"A"
"1H";"2021-04-25T23:00:00Z";"2021-04-26T00:00:00Z";"2.7";"5.6";"6778";"7.6";"6.1";"11.7";"13.7";"0";"0";"0";"61.9";"311";"1.8";"4.2";"A";"A";"A";"A"
"1H";"2021-04-26T00:00:00Z";"2021-04-26T01:00:00Z";"3";"5.3";"7680";"6.7";"6.3";"12";"13";"0";"0";"0";"61.8";"307";"2";"3.8";"A";"A";"A";"A"
"1H";"2021-04-26T01:00:00Z";"2021-04-26T02:00:00Z";"3";"5.5";"7054";"5.8";"6.8";"12.9";"12.5";"0";"0";"0";"65.6";"311";"1.8";"3.3";"A";"A";"A";"A"
"1H";"2021-04-26T02:00:00Z";"2021-04-26T03:00:00Z";"2.8";"5.1";"5455";"4.8";"5.8";"11.1";"10.6";"0";"0";"0";"67.9";"304";"1.5";"3.6";"A";"A";"A";"A"
"1H";"2021-04-26T03:00:00Z";"2021-04-26T04:00:00Z";"2.6";"5.4";"6004";"9.1";"11.4";"21.7";"20.5";"0";"0";"0";"73.9";"360";"0.9";"3.7";"A";"A";"A";"A"
"1H";"2021-04-26T04:00:00Z";"2021-04-26T05:00:00Z";"2.5";"4.3";"6073";"5.3";"8.9";"17";"14.2";"0";"0";"0";"74.1";"196";"0.6";"3.7";"A";"A";"A";"A"
"1H";"2021-04-26T05:00:00Z";"2021-04-26T06:00:00Z";"2.3";"3";"5197";"5.2";"9.4";"18";"14.6";"0";"0";"0";"81";"281";"2.3";"3.2";"A";"A";"A";"A"
"1H";"2021-04-26T06:00:00Z";"2021-04-26T07:00:00Z";"2";"4.7";"4845";"7.2";"7";"13.5";"14.2";"0";"0";"0";"68.6";"290";"3.3";"4.6";"A";"A";"A";"A"
"1H";"2021-04-26T07:00:00Z";"2021-04-26T08:00:00Z";"2.2";"7.2";"5919";"12.3";"8.4";"16";"20.7";"0";"0";"0";"61.8";"308";"4.8";"5.4";"A";"A";"A";"A"
"1H";"2021-04-26T08:00:00Z";"2021-04-26T09:00:00Z";"2.3";"9.2";"6231";"13.9";"7.9";"15.1";"21.8";"0";"0";"0";"51.2";"312";"2.2";"6.1";"A";"A";"A";"A"
"1H";"2021-04-26T09:00:00Z";"2021-04-26T10:00:00Z";"1.9";"3.4";"5630";"18.1";"11.5";"22.1";"29.6";"0";"0";"0";"68.4";"279";"2.5";"5.6";"A";"A";"A";"A"
