MeanValueType;StartUtc;EndUtc;PM2_5;PM10;PN;NO;NO2;NO2_Microgram;NOx;BC;BC_FF;BC_WB;RH;WD;WS;Temp;PM2_5Index;PM10Index;NO2Index;CphIndex
"1H";"2021-04-25T22:00:00Z";"2021-04-25T23:00:00Z";"3.5";"6.5";"7568";"44.7";"11.5";"22";"56.2";"276.5";"215";"61";"67.7";"320";"2.3";"2.7";"A";"A";"A";"A"
"1H";"2021-04-25T23:00:00Z";"2021-04-26T00:00:00Z";"3.7";"7";"7768";"44.2";"11.2";"21.4";"55.4";"283.7";"228";"56";"68.7";"311";"1.8";"2.2";"A";"A";"A";"A"
"1H";"2021-04-26T00:00:00Z";"2021-04-26T01:00:00Z";"3.6";"6.5";"7266";"54.3";"11.7";"22.3";"65.9";"375.9";"376";"0";"70.2";"307";"2";"1.6";"A";"A";"A";"A"
"1H";"2021-04-26T01:00:00Z";"2021-04-26T02:00:00Z";"3.8";"6.3";"7434";"47.1";"9.5";"18.2";"56.7";"387.9";"388";"0";"71.7";"311";"1.8";"1.3";"A";"A";"A";"A"
"1H";"2021-04-26T02:00:00Z";"2021-04-26T03:00:00Z";"3.3";"7.3";"6510";"50.7";"10.9";"20.8";"61.6";"241";"213";"28";"73.2";"304";"1.5";"1.3";"A";"A";"A";"A"
"1H";"2021-04-26T03:00:00Z";"2021-04-26T04:00:00Z";"4.3";"10.1";"15133";"58.7";"18.9";"36.1";"77.5";"607.6";"598";"10";"72.2";"360";"0.9";"2.2";"A";"A";"A";"A"
"1H";"2021-04-26T04:00:00Z";"2021-04-26T05:00:00Z";"5.1";"11.2";"20392";"57.9";"29.7";"56.8";"87.7";"1348.4";"1348";"0";"76.7";"196";"0.6";"2.6";"A";"A";"B";"B"
"1H";"2021-04-26T05:00:00Z";"2021-04-26T06:00:00Z";"3.2";"4.4";"12347";"63.7";"27.9";"53.4";"91.6";"1297.5";"1298";"0";"88.1";"281";"2.3";"3";"A";"A";"B";"B"
"1H";"2021-04-26T06:00:00Z";"2021-04-26T07:00:00Z";"2.1";"3.6";"6330";"48.6";"15.6";"29.8";"64.2";"535.9";"501";"35";"71.3";"290";"3.3";"5.3";"A";"A";"A";"A"
"1H";"2021-04-26T07:00:00Z";"2021-04-26T08:00:00Z";"7.2";"26.8";"10430";"85.4";"39.7";"75.8";"125.1";"1404.2";"1404";"0";"63.3";"308";"4.8";"6.4";"A";"B";"B";"B"
"1H";"2021-04-26T08:00:00Z";"2021-04-26T09:00:00Z";"3";"10.3";"8340";"56.1";"19.2";"36.6";"75.3";"689";"608";"81";"42";"312";"2.2";"9.5";"A";"A";"A";"A"
"1H";"2021-04-26T09:00:00Z";"2021-04-26T10:00:00Z";"4.1";"14.5";"11590";"51.4";"22.6";"43.3";"74";"1410.4";"1300";"110";"54.6";"279";"2.5";"7.6";"A";"A";"B";"B"
"1H";"2021-04-26T10:00:00Z";"2021-04-26T11:00:00Z";"3.5";"9.3";"12059";"46.3";"21.2";"40.5";"67.5";"846";"846";"0";"51.5";"156";"1.9";"8.3";"A";"A";"B";"B"
"1H";"2021-04-26T11:00:00Z";"2021-04-26T12:00:00Z";"4.1";"10.2";"15228";"48.8";"24.2";"46.4";"73.1";"1689.2";"1689";"0";"61.5";"176";"1.1";"7.3";"A";"A";"B";"B"
"1H";"2021-04-26T12:00:00Z";"2021-04-26T13:00:00Z";"2.7";"7.2";"11509";"44.2";"18.5";"35.3";"62.7";"778.5";"779";"0";"40.6";"309";"2.9";"9.4";"A";"A";"A";"A"
"1H";"2021-04-26T13:00:00Z";"2021-04-26T14:00:00Z";"3.4";"12.3";"10221";"46.7";"19.8";"37.8";"66.4";"945.8";"946";"0";"33.3";"339";"3.6";"10";"A";"A";"A";"A"
"1H";"2021-04-26T14:00:00Z";"2021-04-26T15:00:00Z";"2.7";"8";"10136";"34.1";"15.9";"30.4";"50";"791.5";"792";"0";"30.3";"325";"3.5";"10.5";"A";"A";"A";"A"
"1H";"2021-04-26T15:00:00Z";"2021-04-26T16:00:00Z";"2";"4.8";"7424";"19.7";"12.7";"24.3";"32.4";"503.2";"503";"0";"32";"321";"4.3";"10.2";"A";"A";"A";"A"
"1H";"2021-04-26T16:00:00Z";"2021-04-26T17:00:00Z";"2.2";"4.3";"9568";"23.6";"14";"26.7";"37.6";"890.8";"876";"15";"31.9";"325";"3.8";"10.4";"A";"A";"A";"A"
"1H";"2021-04-26T17:00:00Z";"2021-04-26T18:00:00Z";"2.1";"4.4";"7021";"26.1";"14.7";"28.1";"40.8";"758.2";"758";"0";"33.7";"318";"3.2";"9.2";"A";"A";"A";"A"
"1H";"2021-04-26T18:00:00Z";"2021-04-26T19:00:00Z";"2.1";"3.5";"7707";"28.9";"12.4";"23.7";"41.3";"649.9";"617";"32";"41.8";"352";"2.7";"6.5";"A";"A";"A";"A"
"1H";"2021-04-26T19:00:00Z";"2021-04-26T20:00:00Z";"2.4";"4.2";"5894";"35.5";"13.1";"25.1";"48.6";"569.7";"491";"79";"48.4";"346";"2";"4.8";"A";"A";"A";"A"
"1H";"2021-04-26T20:00:00Z";"2021-04-26T21:00:00Z";"3.3";"5.6";"9778";"49.3";"16.2";"30.9";"65.4";"832.9";"729";"104";"57.5";"324";"1.5";"3.4";"A";"A";"A";"A"
"1H";"2021-04-26T21:00:00Z";"2021-04-26T22:00:00Z";"4";"6.1";"10563";"51.4";"14.9";"28.4";"66.3";"825.6";"618";"208";"63.9";"301";"0.9";"2.7";"A";"A";"A";"A"
"1H";"2021-04-26T22:00:00Z";"2021-04-26T23:00:00Z";"5";"6.9";"10668";"55.3";"15.1";"28.8";"70.4";"940.2";"620";"320";"70";"294";"0.8";"1.8";"A";"A";"A";"A"
"1H";"2021-04-26T23:00:00Z";"2021-04-27T00:00:00Z";"4.8";"6.7";"10239";"49";"16.6";"31.7";"65.6";"900.5";"721";"179";"72.1";"282";"0.7";"1.4";"A";"A";"A";"A"
"1H";"2021-04-27T00:00:00Z";"2021-04-27T01:00:00Z";"4.8";"6.6";"12926";"51.4";"16.5";"31.6";"67.9";"771.8";"547";"225";"73.5";"290";"0.8";"0.9";"A";"A";"A";"A"
"1H";"2021-04-27T01:00:00Z";"2021-04-27T02:00:00Z";"4.4";"5.7";"9354";"54.3";"15.6";"29.9";"69.9";"624.3";"397";"228";"75.5";"300";"1.1";"0.5";"A";"A";"A";"A"
"1H";"2021-04-27T02:00:00Z";"2021-04-27T03:00:00Z";"4.5";"5.5";"8224";"52.8";"14.4";"27.4";"67.1";"660.4";"447";"214";"79.9";"287";"1";"-0.2";"A";"A";"A";"A"
"1H";"2021-04-27T03:00:00Z";"2021-04-27T04:00:00Z";"5.5";"7.6";"11965";"68.5";"22.7";"43.4";"91.1";"1006.5";"864";"142";"83.3";"284";"1.1";"-0.3";"A";"A";"B";"B"
"1H";"2021-04-27T04:00:00Z";"2021-04-27T05:00:00Z";"8.5";"12.3";"24288";"91.4";"35.6";"68";"127";"2509.6";"2367";"143";"82";"291";"0.9";"0.6";"A";"A";"B";"B"
"1H";"2021-04-27T05:00:00Z";"2021-04-27T06:00:00Z";"9.1";"20.3";"20180";"106";"38.9";"74.3";"144.9";"2704.2";"2354";"350";"69.5";"289";"1";"4.5";"A";"B";"B";"B"
"1H";"2021-04-27T06:00:00Z";"2021-04-27T07:00:00Z";"7.4";"20.2";"17164";"89";"30.3";"57.9";"119.3";"1926.3";"1815";"111";"61.2";"309";"1.2";"7.5";"A";"B";"B";"B"
"1H";"2021-04-27T07:00:00Z";"2021-04-27T08:00:00Z";"7.2";"20";"15189";"79.7";"35.3";"67.5";"115";"1905";"1905";"0";"51.9";"355";"1.6";"9.5";"A";"B";"B";"B"
"1H";"2021-04-27T08:00:00Z";"2021-04-27T09:00:00Z";"6";"18";"12779";"58.1";"26";"49.7";"84.1";"1573.5";"1573";"0";"42.7";"25";"1.5";"10.6";"A";"A";"B";"B"
