MeanValueType;StartUtc;EndUtc;PM2_5;PM10;PN;NO;NO2;NO2_Microgram;NOx;BC;BC_FF;BC_WB;RH;WD;WS;Temp;PM2_5Index;PM10Index;NO2Index;CphIndex
"1H";"2021-04-25T22:00:00Z";"2021-04-25T23:00:00Z";"3.5";"7.8";"8171";"1.7";"10.8";"20.7";"12.5";"0";"0";"0";"61.6";"320";"2.3";"4.2";"A";"A";"A";"A"
"1H";"2021-04-25T23:00:00Z";"2021-04-26T00:00:00Z";"3.2";"6.4";"8799";"1.5";"8.5";"16.3";"10";"0";"0";"0";"63.1";"311";"1.8";"3.7";"A";"A";"A";"A"
"1H";"2021-04-26T00:00:00Z";"2021-04-26T01:00:00Z";"3.5";"6.3";"8097";"2.1";"9.2";"17.5";"11.3";"0";"0";"0";"66.1";"307";"2";"2.6";"A";"A";"A";"A"
"1H";"2021-04-26T01:00:00Z";"2021-04-26T02:00:00Z";"3.8";"8.5";"10651";"3.5";"8.4";"16";"11.8";"0";"0";"0";"68.1";"311";"1.8";"2.3";"A";"A";"A";"A"
"1H";"2021-04-26T02:00:00Z";"2021-04-26T03:00:00Z";"3.5";"7.5";"8536";"4.3";"9";"17.2";"13.3";"0";"0";"0";"69.2";"304";"1.5";"2.5";"A";"A";"A";"A"
"1H";"2021-04-26T03:00:00Z";"2021-04-26T04:00:00Z";"5.6";"15.6";"10327";"11.2";"20.8";"39.7";"32";"0";"0";"0";"71.3";"360";"0.9";"3.1";"A";"A";"A";"A"
"1H";"2021-04-26T04:00:00Z";"2021-04-26T05:00:00Z";"3.9";"7.7";"13016";"14.3";"20.7";"39.6";"35";"0";"0";"0";"75.2";"196";"0.6";"3.1";"A";"A";"A";"A"
"1H";"2021-04-26T05:00:00Z";"2021-04-26T06:00:00Z";"2.5";"3.1";"10515";"15.6";"20.9";"40";"36.5";"0";"0";"0";"83.5";"281";"2.3";"3.2";"A";"A";"A";"A"
"1H";"2021-04-26T06:00:00Z";"2021-04-26T07:00:00Z";"2.2";"5.2";"5979";"7.1";"12.6";"24.2";"19.8";"0";"0";"0";"69.1";"290";"3.3";"4.7";"A";"A";"A";"A"
"1H";"2021-04-26T07:00:00Z";"2021-04-26T08:00:00Z";"3";"10.3";"6367";"6.6";"12.3";"23.5";"18.9";"0";"0";"0";"62.5";"308";"4.8";"5.4";"A";"A";"A";"A"
"1H";"2021-04-26T08:00:00Z";"2021-04-26T09:00:00Z";"6.7";"38.3";"4458";"6.6";"8.1";"15.5";"14.7";"0";"0";"0";"49";"312";"2.2";"6.2";"A";"B";"A";"B"
"1H";"2021-04-26T09:00:00Z";"2021-04-26T10:00:00Z";"1.9";"3.6";"6400";"14.2";"13.8";"26.3";"28";"0";"0";"0";"71.1";"279";"2.5";"5";"A";"A";"A";"A"
"1H";"2021-04-26T10:00:00Z";"2021-04-26T11:00:00Z";"12.3";"69.4";"8225";"5.7";"12.1";"23.2";"17.8";"0";"0";"0";"52.6";"156";"1.9";"7";"A";"D";"A";"D"
"1H";"2021-04-26T11:00:00Z";"2021-04-26T12:00:00Z";"2.8";"10.7";"10225";"6.6";"12.3";"23.5";"18.9";"0";"0";"0";"48";"176";"1.1";"7.5";"A";"A";"A";"A"
"1H";"2021-04-26T12:00:00Z";"2021-04-26T13:00:00Z";"4.2";"21";"9373";"4.7";"10.8";"20.7";"15.5";"0";"0";"0";"41.7";"309";"2.9";"8.2";"A";"B";"A";"B"
"1H";"2021-04-26T13:00:00Z";"2021-04-26T14:00:00Z";"2";"6.5";"6481";"5.9";"9.7";"18.5";"15.6";"0";"0";"0";"34.5";"339";"3.6";"8.7";"A";"A";"A";"A"
"1H";"2021-04-26T14:00:00Z";"2021-04-26T15:00:00Z";"1.7";"3.7";"6150";"3.1";"7";"13.3";"10.1";"0";"0";"0";"32.6";"325";"3.5";"9";"A";"A";"A";"A"
"1H";"2021-04-26T15:00:00Z";"2021-04-26T16:00:00Z";"1.7";"3.8";"6827";"5.1";"8.1";"15.5";"13.2";"0";"0";"0";"32.3";"321";"4.3";"9.3";"A";"A";"A";"A"
"1H";"2021-04-26T16:00:00Z";"2021-04-26T17:00:00Z";"1.7";"3.1";"6108";"4.4";"5.7";"10.9";"10.2";"0";"0";"0";"33.9";"325";"3.8";"8.5";"A";"A";"A";"A"
"1H";"2021-04-26T17:00:00Z";"2021-04-26T18:00:00Z";"1.6";"2.8";"5418";"6.6";"6.8";"13";"13.4";"0";"0";"0";"34.1";"318";"3.2";"7.9";"A";"A";"A";"A"
"1H";"2021-04-26T18:00:00Z";"2021-04-26T19:00:00Z";"2.8";"4.1";"6783";"11";"13.4";"25.6";"24.4";"0";"0";"0";"37.4";"352";"2.7";"6.8";"A";"A";"A";"A"
"1H";"2021-04-26T19:00:00Z";"2021-04-26T20:00:00Z";"2.8";"4.5";"10320";"9.6";"17.4";"33.3";"27";"0";"0";"0";"43.9";"346";"2";"5.7";"A";"A";"A";"A"
"1H";"2021-04-26T20:00:00Z";"2021-04-26T21:00:00Z";"3.2";"5.6";"9581";"5.3";"18.3";"35.1";"23.6";"0";"0";"0";"53";"324";"1.5";"4.7";"A";"A";"A";"A"
"1H";"2021-04-26T21:00:00Z";"2021-04-26T22:00:00Z";"3.4";"6.1";"10921";"4.6";"20.8";"39.8";"25.5";"0";"0";"0";"58";"301";"0.9";"4.3";"A";"A";"A";"A"
"1H";"2021-04-26T22:00:00Z";"2021-04-26T23:00:00Z";"3.6";"5.9";"9470";"4.7";"20";"38.2";"24.6";"0";"0";"0";"61.4";"294";"0.8";"3.8";"A";"A";"A";"A"
"1H";"2021-04-26T23:00:00Z";"2021-04-27T00:00:00Z";"3.8";"5.8";"10938";"5";"18";"34.3";"23";"0";"0";"0";"65";"282";"0.7";"2.9";"A";"A";"A";"A"
"1H";"2021-04-27T00:00:00Z";"2021-04-27T01:00:00Z";"5.4";"7.4";"9035";"4.3";"14";"26.8";"18.4";"0";"0";"0";"67.4";"290";"0.8";"2.2";"A";"A";"A";"A"
"1H";"2021-04-27T01:00:00Z";"2021-04-27T02:00:00Z";"5.7";"8.1";"7845";"4.8";"14.3";"27.3";"19.1";"0";"0";"0";"71.2";"300";"1.1";"1.3";"A";"A";"A";"A"
"1H";"2021-04-27T02:00:00Z";"2021-04-27T03:00:00Z";"6";"9.7";"9890";"7.2";"18.5";"35.4";"25.7";"0";"0";"0";"73.4";"287";"1";"1.1";"A";"A";"A";"A"
"1H";"2021-04-27T03:00:00Z";"2021-04-27T04:00:00Z";"7.5";"11.1";"15048";"18.8";"26.8";"51.2";"45.6";"0";"0";"0";"75.2";"284";"1.1";"1";"A";"A";"B";"B"
"1H";"2021-04-27T04:00:00Z";"2021-04-27T05:00:00Z";"9.1";"14.8";"19283";"38.7";"30.4";"58.2";"69.1";"0";"0";"0";"76.3";"291";"0.9";"2";"A";"A";"B";"B"
"1H";"2021-04-27T05:00:00Z";"2021-04-27T06:00:00Z";"9.5";"26";"20572";"38";"30.4";"58.2";"68.4";"0";"0";"0";"70.9";"289";"1";"4.2";"A";"B";"B";"B"
"1H";"2021-04-27T06:00:00Z";"2021-04-27T07:00:00Z";"5.7";"14.2";"12749";"20.9";"22.6";"43.3";"43.5";"0";"0";"0";"67.3";"309";"1.2";"5.7";"A";"A";"B";"B"
"1H";"2021-04-27T07:00:00Z";"2021-04-27T08:00:00Z";"6.8";"38.1";"8510";"14.2";"15.6";"29.8";"29.7";"0";"0";"0";"57.3";"355";"1.6";"7.1";"A";"B";"A";"B"
"1H";"2021-04-27T08:00:00Z";"2021-04-27T09:00:00Z";"4.4";"13.8";"8229";"11.9";"12.6";"24";"24.4";"0";"0";"0";"55.2";"25";"1.5";"7.9";"A";"A";"A";"A"
"1H";"2021-04-27T09:00:00Z";"2021-04-27T10:00:00Z";"3";"9.4";"5355";"6";"7.5";"14.4";"13.5";"0";"0";"0";"36.2";"36";"1.8";"8.7";"A";"A";"A";"A"
"1H";"2021-04-27T10:00:00Z";"2021-04-27T11:00:00Z";"4.9";"27";"7056";"9.6";"9.8";"18.7";"19.4";"0";"0";"0";"31.8";"93";"2";"10.4";"A";"B";"A";"B"
"1H";"2021-04-27T11:00:00Z";"2021-04-27T12:00:00Z";"4.6";"22.2";"6464";"12.4";"9.3";"17.8";"21.7";"0";"0";"0";"30.4";"126";"2.2";"11.1";"A";"B";"A";"B"
"1H";"2021-04-27T12:00:00Z";"2021-04-27T13:00:00Z";"5.1";"25.5";"8250";"19.2";"14.3";"27.4";"33.5";"0";"0";"0";"31.2";"124";"3.2";"12.4";"A";"B";"A";"B"
