MeanValueType;StartUtc;EndUtc;PM2_5;PM10;PN;NO;NO2;NO2_Microgram;NOx;BC;BC_FF;BC_WB;RH;WD;WS;Temp;PM2_5Index;PM10Index;NO2Index;CphIndex
"1H";"2021-04-25T22:00:00Z";"2021-04-25T23:00:00Z";"3.7";"7.8";"8139";"10.2";"12.2";"23.4";"22.5";"0";"0";"0";"59.8";"320";"2.3";"4.5";"A";"A";"A";"A"
"1H";"2021-04-25T23:00:00Z";"2021-04-26T00:00:00Z";"4";"7.7";"8691";"10.8";"10.7";"20.4";"21.5";"0";"0";"0";"61.1";"311";"1.8";"4";"A";"A";"A";"A"
"1H";"2021-04-26T00:00:00Z";"2021-04-26T01:00:00Z";"3.9";"6.4";"8530";"8.3";"7.8";"15";"16.1";"0";"0";"0";"62.6";"307";"2";"3.2";"A";"A";"A";"A"
"1H";"2021-04-26T01:00:00Z";"2021-04-26T02:00:00Z";"3.9";"6.9";"7904";"8.1";"8";"15.4";"16.2";"0";"0";"0";"65";"311";"1.8";"2.8";"A";"A";"A";"A"
"1H";"2021-04-26T02:00:00Z";"2021-04-26T03:00:00Z";"3.5";"6.5";"7010";"8";"7.6";"14.6";"15.6";"0";"0";"0";"67.2";"304";"1.5";"2.7";"A";"A";"A";"A"
"1H";"2021-04-26T03:00:00Z";"2021-04-26T04:00:00Z";"2.8";"5.5";"6838";"9.5";"11.3";"21.6";"20.8";"0";"0";"0";"72.1";"360";"0.9";"3.8";"A";"A";"A";"A"
"1H";"2021-04-26T04:00:00Z";"2021-04-26T05:00:00Z";"5";"12.1";"11925";"11";"17.3";"33.1";"28.3";"0";"0";"0";"73.2";"196";"0.6";"3.5";"A";"A";"A";"A"
"1H";"2021-04-26T05:00:00Z";"2021-04-26T06:00:00Z";"3.4";"4.4";"9874";"12.1";"18";"34.4";"30.1";"0";"0";"0";"81.7";"281";"2.3";"3.1";"A";"A";"A";"A"
"1H";"2021-04-26T06:00:00Z";"2021-04-26T07:00:00Z";"2.7";"5.8";"6764";"9.5";"14.4";"27.6";"23.9";"0";"0";"0";"67.1";"290";"3.3";"4.8";"A";"A";"A";"A"
"1H";"2021-04-26T07:00:00Z";"2021-04-26T08:00:00Z";"2.5";"5.5";"7615";"9.4";"11.9";"22.8";"21.3";"0";"0";"0";"61.6";"308";"4.8";"5.4";"A";"A";"A";"A"
"1H";"2021-04-26T08:00:00Z";"2021-04-26T09:00:00Z";"2.2";"5.4";"6131";"8.4";"7.8";"15";"16.2";"0";"0";"0";"49.1";"312";"2.2";"6.4";"A";"A";"A";"A"
"1H";"2021-04-26T09:00:00Z";"2021-04-26T10:00:00Z";"1.9";"3.7";"4781";"11.4";"9.3";"17.9";"20.7";"0";"0";"0";"69";"279";"2.5";"5";"A";"A";"A";"A"
"1H";"2021-04-26T10:00:00Z";"2021-04-26T11:00:00Z";"2.8";"5.3";"8355";"8.7";"8";"15.2";"16.7";"0";"0";"0";"51.3";"156";"1.9";"7.1";"A";"A";"A";"A"
"1H";"2021-04-26T11:00:00Z";"2021-04-26T12:00:00Z";"2.6";"5.2";"10475";"11.8";"11.2";"21.5";"23.1";"0";"0";"0";"46.2";"176";"1.1";"7.5";"A";"A";"A";"A"
"1H";"2021-04-26T12:00:00Z";"2021-04-26T13:00:00Z";"2.9";"7";"10981";"11.8";"9.4";"17.9";"21.2";"0";"0";"0";"40.2";"309";"2.9";"8.5";"A";"A";"A";"A"
"1H";"2021-04-26T13:00:00Z";"2021-04-26T14:00:00Z";"2.2";"4.5";"7823";"12.2";"8.1";"15.5";"20.4";"0";"0";"0";"36.4";"339";"3.6";"8.3";"A";"A";"A";"A"
"1H";"2021-04-26T14:00:00Z";"2021-04-26T15:00:00Z";"2.3";"4.9";"9251";"14.6";"11.7";"22.3";"26.2";"0";"0";"0";"31.3";"325";"3.5";"9.5";"A";"A";"A";"A"
"1H";"2021-04-26T15:00:00Z";"2021-04-26T16:00:00Z";"2";"4";"7535";"13";"10.1";"19.3";"23.1";"0";"0";"0";"30.9";"321";"4.3";"9.9";"A";"A";"A";"A"
"1H";"2021-04-26T16:00:00Z";"2021-04-26T17:00:00Z";"2.1";"3.5";"7827";"10.8";"9.3";"17.9";"20.1";"0";"0";"0";"33.1";"325";"3.8";"8.9";"A";"A";"A";"A"
"1H";"2021-04-26T17:00:00Z";"2021-04-26T18:00:00Z";"2.1";"3.8";"7593";"12";"9.9";"18.9";"21.9";"0";"0";"0";"34.1";"318";"3.2";"8.1";"A";"A";"A";"A"
"1H";"2021-04-26T18:00:00Z";"2021-04-26T19:00:00Z";"4";"12.3";"8968";"16.1";"15.3";"29.2";"31.4";"0";"0";"0";"36.2";"352";"2.7";"7.2";"A";"A";"A";"A"
"1H";"2021-04-26T19:00:00Z";"2021-04-26T20:00:00Z";"3";"4.8";"15317";"16";"18.4";"35.2";"34.4";"0";"0";"0";"41.9";"346";"2";"6.1";"A";"A";"A";"A"
"1H";"2021-04-26T20:00:00Z";"2021-04-26T21:00:00Z";"3.6";"5.4";"11832";"17.7";"15.8";"30.3";"33.5";"0";"0";"0";"50.3";"324";"1.5";"5.2";"A";"A";"A";"A"
"1H";"2021-04-26T21:00:00Z";"2021-04-26T22:00:00Z";"3.3";"6.3";"11147";"11.2";"18.4";"35.2";"29.6";"0";"0";"0";"55.2";"301";"0.9";"4.9";"A";"A";"A";"A"
"1H";"2021-04-26T22:00:00Z";"2021-04-26T23:00:00Z";"4.1";"6.3";"12859";"9.7";"17.7";"33.8";"27.4";"0";"0";"0";"58.5";"294";"0.8";"4.2";"A";"A";"A";"A"
"1H";"2021-04-26T23:00:00Z";"2021-04-27T00:00:00Z";"3.7";"4.8";"9524";"9.1";"13.7";"26.2";"22.9";"0";"0";"0";"60.9";"282";"0.7";"3.7";"A";"A";"A";"A"
"1H";"2021-04-27T00:00:00Z";"2021-04-27T01:00:00Z";"5.8";"6.9";"11864";"8.2";"13.3";"25.4";"21.5";"0";"0";"0";"63.5";"290";"0.8";"2.9";"A";"A";"A";"A"
"1H";"2021-04-27T01:00:00Z";"2021-04-27T02:00:00Z";"5.6";"6.4";"8364";"9.2";"10";"19.1";"19.2";"0";"0";"0";"66.3";"300";"1.1";"2.4";"A";"A";"A";"A"
"1H";"2021-04-27T02:00:00Z";"2021-04-27T03:00:00Z";"5.3";"6.6";"8172";"9.2";"10.3";"19.6";"19.4";"0";"0";"0";"69.1";"287";"1";"2.2";"A";"A";"A";"A"
"1H";"2021-04-27T03:00:00Z";"2021-04-27T04:00:00Z";"6.9";"10";"9360";"8.9";"13.1";"25.1";"22";"0";"0";"0";"71.6";"284";"1.1";"2";"A";"A";"A";"A"
"1H";"2021-04-27T04:00:00Z";"2021-04-27T05:00:00Z";"9";"12.3";"15221";"20.6";"20.6";"39.4";"41.2";"0";"0";"0";"74.5";"291";"0.9";"1.9";"A";"A";"A";"A"
"1H";"2021-04-27T05:00:00Z";"2021-04-27T06:00:00Z";"9.6";"16.6";"21395";"27.9";"26.2";"50.2";"54.1";"0";"0";"0";"74.4";"289";"1";"3.1";"A";"A";"B";"B"
"1H";"2021-04-27T06:00:00Z";"2021-04-27T07:00:00Z";"7";"14.4";"15725";"26";"27.1";"51.8";"53";"0";"0";"0";"67.3";"309";"1.2";"5.5";"A";"A";"B";"B"
"1H";"2021-04-27T07:00:00Z";"2021-04-27T08:00:00Z";"4.9";"9.5";"8616";"12.9";"12.9";"24.7";"25.8";"0";"0";"0";"57.3";"355";"1.6";"7.2";"A";"A";"A";"A"
"1H";"2021-04-27T08:00:00Z";"2021-04-27T09:00:00Z";"3.9";"10.5";"7846";"8.8";"7.6";"14.6";"16.5";"0";"0";"0";"50.7";"25";"1.5";"7.9";"A";"A";"A";"A"
"1H";"2021-04-27T09:00:00Z";"2021-04-27T10:00:00Z";"3.3";"9.9";"5410";"8.4";"5.6";"10.8";"14.1";"0";"0";"0";"36";"36";"1.8";"8.7";"A";"A";"A";"A"
"1H";"2021-04-27T10:00:00Z";"2021-04-27T11:00:00Z";"3.1";"9.5";"5061";"11.4";"7";"13.4";"18.4";"0";"0";"0";"33.7";"93";"2";"9.6";"A";"A";"A";"A"
"1H";"2021-04-27T11:00:00Z";"2021-04-27T12:00:00Z";"4.7";"15.7";"7753";"17.9";"25.2";"48.2";"43.1";"0";"0";"0";"30.4";"126";"2.2";"11.7";"A";"A";"B";"B"
"1H";"2021-04-27T12:00:00Z";"2021-04-27T13:00:00Z";"4";"14.6";"10326";"15.5";"13.3";"25.5";"28.9";"0";"0";"0";"28";"124";"3.2";"13.2";"A";"A";"A";"A"
"1H";"2021-04-27T13:00:00Z";"2021-04-27T14:00:00Z";"4";"15.9";"8400";"12.6";"11.2";"21.4";"23.8";"0";"0";"0";"27.8";"124";"3.2";"13.9";"A";"A";"A";"A"
"1H";"2021-04-27T14:00:00Z";"2021-04-27T15:00:00Z";"3.3";"11.7";"6412";"8.4";"8.5";"16.3";"16.9";"0";"0";"0";"30.1";"115";"2.9";"13.4";"A";"A";"A";"A"
"1H";"2021-04-27T15:00:00Z";"2021-04-27T16:00:00Z";"3.3";"9.6";"5941";"6.3";"7.7";"14.7";"14";"0";"0";"0";"30.6";"114";"2.4";"12.2";"A";"A";"A";"A"
"1H";"2021-04-27T16:00:00Z";"2021-04-27T17:00:00Z";"2.6";"4.7";"4066";"5.7";"7.1";"13.6";"12.8";"0";"0";"0";"25.9";"161";"2.2";"11.1";"A";"A";"A";"A"
"1H";"2021-04-27T17:00:00Z";"2021-04-27T18:00:00Z";"3.7";"7.6";"5811";"8.1";"9.6";"18.3";"17.7";"0";"0";"0";"28";"179";"2.5";"9.7";"A";"A";"A";"A"
"1H";"2021-04-27T18:00:00Z";"2021-04-27T19:00:00Z";"4.4";"7.4";"6435";"13";"11.8";"22.5";"24.8";"0";"0";"0";"27.9";"170";"2";"8.6";"A";"A";"A";"A"
"1H";"2021-04-27T19:00:00Z";"2021-04-27T20:00:00Z";"6";"9.3";"9259";"17.4";"15.6";"29.9";"33.1";"0";"0";"0";"45.8";"167";"1.3";"7.7";"A";"A";"A";"A"
"1H";"2021-04-27T20:00:00Z";"2021-04-27T21:00:00Z";"6.6";"9.7";"10564";"16.7";"17";"32.5";"33.7";"0";"0";"0";"52.2";"157";"0.8";"7.3";"A";"A";"A";"A"
"1H";"2021-04-27T21:00:00Z";"2021-04-27T22:00:00Z";"8.4";"12.4";"12696";"21.4";"20.5";"39.2";"41.9";"0";"0";"0";"56.4";"304";"0.4";"6.5";"A";"A";"A";"A"
"1H";"2021-04-27T22:00:00Z";"2021-04-27T23:00:00Z";"7.5";"12.2";"10815";"22.1";"18.2";"34.9";"40.3";"0";"0";"0";"60.3";"354";"0.5";"5.6";"A";"A";"A";"A"
